t__s,ACT_TILT_CENTER_REAR.Position_CMD,ACT_TILT_CENTER_REAR.Position_FB,ACT_TILT_CENTER_REAR.Torque_FB,ACT_TILT_CENTER_REAR.Temperature_FB__dC,ACT_TILT_CENTER_REAR.Voltage_FB__V
31.399809,9890,9896,242,38,7.47
31.499809,9881,9896,98,38,7.47
31.599785,9861,9896,98,38,7.47
31.69981,9847,9892,98,38,7.46
31.799823,9880,9880,643,38,7.46
31.899816,9961,9864,643,38,7.46
31.999819,9928,9932,643,38,7.47
32.099808,9805,9956,448,38,7.47
32.199842,9668,9876,448,38,7.44
32.299888,9531,9740,448,39,7.44
32.399856,9394,9596,448,39,7.38
32.499808,9257,9448,1288,39,7.38
32.599805,9120,9332,1288,39,7.38
32.699811,8983,9188,1288,39,7.43
32.799827,8861,9044,701,39,7.43
32.899811,8782,8908,701,39,7.43
32.999817,8694,8820,701,39,7.41
33.09981,8602,8768,1284,39,7.41
33.199811,8511,8680,1284,39,7.38
33.29981,8419,8576,1284,39,7.38
33.399813,8328,8476,1284,39,7.37
33.499819,8237,8408,1180,39,7.37
33.599795,8145,8312,1180,39,7.37
33.699821,8054,8224,1180,39,7.37
33.799819,7963,8140,1230,39,7.37
33.899835,7871,8036,1230,39,7.37
33.999818,7780,7940,1230,39,7.34
34.099858,7688,7836,1242,39,7.34
34.199811,7597,7768,1242,39,7.38
34.299848,7506,7660,1242,39,7.38
34.39979,7414,7568,1242,39,7.39
34.499837,7323,7468,1083,39,7.39
34.599787,7232,7388,1083,39,7.39
34.699861,7140,7300,1083,39,7.4
34.799787,7049,7196,1054,39,7.4
34.899854,6957,7100,1054,39,7.4
34.999797,6866,7000,1054,39,7.41
35.099831,6775,6908,535,39,7.41
35.199808,6683,6832,535,39,7.37
35.299826,6592,6724,535,39,7.37
35.399795,6501,6616,535,39,7.46
35.499809,6409,6524,257,39,7.46
35.599787,6318,6440,257,39,7.46
35.699818,6226,6340,257,39,7.38
35.799786,6136,6248,402,39,7.38
35.89985,6092,6164,402,39,7.38
35.99983,6088,6096,402,39,7.36
36.09985,6088,6092,0,39,7.36
36.19983,6088,6092,0,39,7.46
36.299852,6088,6092,0,39,7.46
36.399838,6088,6088,0,39,7.42
36.499852,6088,6088,0,39,7.42
36.599835,6088,6088,0,39,7.42
36.699858,6088,6088,0,39,7.46
36.799827,6088,6088,0,39,7.46
36.899851,6088,6088,0,39,7.46
36.999838,6088,6088,0,39,7.46
37.099888,6088,6088,0,39,7.46
37.199828,6088,6088,0,39,7.43
37.299858,6088,6084,0,39,7.43
37.399829,6088,6088,0,39,7.46
37.49985,6088,6088,0,39,7.46
37.599835,6088,6088,0,39,7.46
37.699857,6088,6088,0,39,7.46
37.799827,6088,6088,0,39,7.46
37.899857,6088,6088,0,39,7.46
37.999828,6088,6088,0,39,7.46
38.099908,6088,6088,0,39,7.46
38.199838,6088,6088,0,39,7.46
38.299851,6088,6088,0,39,7.46
38.399825,6088,6088,0,39,7.47
38.499851,6088,6088,0,39,7.47
38.599826,6088,6088,0,39,7.47
38.69985,6088,6092,0,39,7.46
38.799824,6088,6088,0,39,7.46
38.899852,6088,6088,0,39,7.46
38.999826,6088,6088,0,39,7.08
39.099826,6088,6088,0,39,7.08
39.199832,6088,6088,0,39,6.14
39.299851,6088,6088,0,40,6.14
39.399828,6088,6088,0,40,6.14
39.49986,6088,6088,0,40,6.14
39.59983,6088,6088,0,40,6.14
39.699849,6088,6088,0,40,6.14
39.799827,6088,6088,0,40,6.14
39.89985,6088,6088,0,40,6.14
39.999836,6088,6088,0,40,6.14
40.099851,6088,6088,0,40,6.14
40.199827,6088,6088,0,40,6.14
40.299851,6088,6088,0,39,6.14
40.399837,6088,6088,0,39,6.13
40.499859,6088,6088,0,39,6.13
40.599837,6088,6088,0,39,6.13
40.699852,6088,6088,0,39,6.12
40.799829,6088,6088,0,39,6.12
40.899924,6088,6088,0,39,6.12
40.999827,6088,6088,0,39,6.13
41.099858,6088,6088,0,39,6.13
41.199829,6088,6088,0,39,6.14
41.299849,6088,6088,0,39,6.14
41.399835,6088,6088,0,39,6.13
41.49985,6088,6088,0,39,6.13
41.599826,6088,6088,0,39,6.13
41.69985,6088,6088,0,39,6.14
41.799836,6088,6088,0,39,6.14
41.89985,6088,6088,0,39,6.14
41.99983,6088,6088,0,39,6.13
42.09985,6088,6088,0,39,6.13
42.19983,6088,6088,0,39,6.14
42.299849,6088,6088,0,39,6.14
42.39983,6088,6088,0,39,6.14
