t__s,ACT_TILT_LEFT_FRONT.Position_CMD,ACT_TILT_LEFT_FRONT.Position_FB,ACT_TILT_LEFT_FRONT.Torque_FB,ACT_TILT_LEFT_FRONT.Temperature_FB__dC,ACT_TILT_LEFT_FRONT.Voltage_FB__V
55.183925,6844,6820,221,16,6.1
55.2839,6844,6820,221,16,6.1
55.383953,6844,6820,221,16,6.1
55.483908,6844,6820,221,16,6.1
55.583917,6844,6820,221,16,6.01
55.683897,6844,6820,221,16,6.01
55.7839,6844,6820,221,16,6.01
55.8839,6844,6820,221,16,6.09
55.983901,6844,6820,221,16,6.09
56.083902,6844,6820,221,16,6.05
56.183899,6844,6820,221,16,6.05
56.283901,6844,6820,221,16,6.03
56.383902,6844,6820,160,16,6.03
56.483907,6844,6820,160,16,6.03
56.5839,6844,6820,160,16,6.04
56.683901,6844,6820,221,16,6.04
56.7839,6844,6820,221,16,6.04
56.883902,6844,6820,221,16,6.1
56.983903,6844,6820,221,16,6.1
57.083909,6844,6832,221,16,6.07
57.183901,6844,6832,221,16,6.07
57.283903,6844,6840,221,16,6.1
57.383901,6844,6844,0,16,6.1
57.483931,6844,6848,0,16,6.1
57.583902,6844,6848,0,16,6.1
57.683952,6844,6848,0,16,6.1
57.783904,6844,6848,0,16,6.1
57.883917,6844,6848,0,16,6.09
57.983911,6844,6848,204,16,6.09
58.08391,6844,6848,204,16,6.07
58.183909,6844,6848,204,16,6.07
58.28391,6844,6848,204,16,6.09
58.38391,6844,6852,221,16,6.09
58.483908,6844,6852,221,16,6.09
58.587905,6844,6852,221,16,6.03
58.687921,6844,6852,58,16,6.03
58.787918,6844,6852,58,16,6.03
58.887905,6844,6852,58,16,6.07
58.987904,6844,6852,221,16,6.07
59.087908,6844,6852,221,16,6.1
59.18791,6844,6852,221,16,6.1
59.287907,6844,6852,221,16,6.1
59.387905,6844,6852,221,16,6.1
59.487912,6844,6848,221,16,6.1
59.58791,6844,6848,221,16,6.1
59.687913,6844,6844,0,16,6.1
59.78791,6844,6844,0,16,6.1
59.887907,6844,6844,0,16,6.1
59.987911,6844,6840,0,16,6.1
60.087934,6844,6840,0,16,6.1
60.18791,6844,6840,0,16,6.1
60.287927,6844,6840,0,16,6.09
60.387912,6844,6836,204,16,6.09
60.487929,6844,6836,204,16,6.09
60.587911,6844,6844,204,16,6.04
60.687906,6844,6844,0,16,6.04
60.787913,6844,6844,0,16,6.04
60.887921,6844,6844,0,16,6.1
60.987913,6844,6844,0,16,6.1
61.087908,6844,6844,0,16,6.09
61.18791,6844,6844,0,16,6.09
61.287909,6844,6840,0,16,6.09
61.387912,6844,6840,0,16,6.09
61.487908,6844,6836,0,16,6.09
61.587912,6844,6840,0,16,6.09
61.687908,6844,6840,0,16,6.09
61.787911,6844,6840,0,16,6.09
61.887954,6844,6840,0,16,6.09
61.987912,6844,6836,221,16,6.09
62.087961,6844,6836,221,16,6.06
62.187911,6844,6836,221,16,6.06
62.287926,6844,6836,221,16,6.06
62.387906,6844,6836,221,16,6.06
62.487916,6844,6832,221,16,6.06
62.587905,6844,6836,221,16,6.1
62.687913,6844,6840,0,16,6.1
62.787906,6844,6832,0,16,6.1
62.887913,6844,6836,0,16,6.04
62.987911,6844,6836,221,16,6.04
63.087909,6844,6836,221,16,6.06
63.187913,6844,6832,221,16,6.06
63.287914,6844,6832,221,16,6.09
63.387911,6844,6820,221,16,6.09
63.487909,6844,6820,221,16,6.09
63.587912,6844,6820,221,16,6.04
63.687905,6844,6816,385,16,6.04
